step,relative_error,mass_particles,mass_fluid
0,1.96667e-16,3.20173e+18,3.30032e+20
1,1.94776e-16,6.37148e+18,3.30097e+20
2,0,9.50952e+18,3.30192e+20
3,1.91103e-16,1.2616e+19,3.3032e+20
4,5.67952e-16,1.56913e+19,3.30479e+20
5,1.87565e-16,1.87353e+19,3.30669e+20
6,7.4338e-16,2.17483e+19,3.3089e+20
7,1.84156e-16,2.47304e+19,3.31142e+20
8,3.64995e-16,2.76816e+19,3.31424e+20
9,0,3.06019e+19,3.31738e+20
10,1.79269e-16,3.34914e+19,3.32083e+20
11,3.55394e-16,3.63501e+19,3.32458e+20
12,1.76152e-16,3.91779e+19,3.32864e+20
13,1.74634e-16,4.19749e+19,3.33301e+20
14,1.73142e-16,4.47409e+19,3.33769e+20
15,1.03005e-15,4.7476e+19,3.34268e+20
16,3.40466e-16,5.018e+19,3.34798e+20
17,1.68815e-16,5.28528e+19,3.35359e+20
18,0,5.54944e+19,3.35952e+20
19,1.66048e-16,5.81048e+19,3.36575e+20
20,3.29398e-16,6.06837e+19,3.3723e+20
21,4.90113e-16,6.32309e+19,3.37917e+20
22,1.62065e-16,6.57464e+19,3.38636e+20
23,6.43115e-16,6.823e+19,3.39386e+20
24,4.7854e-16,7.06816e+19,3.40168e+20
25,1.58267e-16,7.31011e+19,3.40983e+20
26,0,7.54885e+19,3.41829e+20
27,3.11667e-16,7.78436e+19,3.42708e+20
28,3.09288e-16,8.01662e+19,3.4362e+20
29,4.60419e-16,8.24562e+19,3.44564e+20
30,4.56958e-16,8.47135e+19,3.45541e+20
31,1.51183e-16,8.6938e+19,3.4655e+20
32,4.5019e-16,8.91297e+19,3.47592e+20
33,1.4896e-16,9.12884e+19,3.48668e+20
34,2.95747e-16,9.34139e+19,3.49776e+20
35,1.46802e-16,9.55063e+19,3.50918e+20
36,1.45746e-16,9.75653e+19,3.52093e+20
37,1.44706e-16,9.95907e+19,3.53301e+20
38,5.74718e-16,1.01583e+20,3.54543e+20
39,1.42668e-16,1.03541e+20,3.55819e+20
40,1.13337e-15,1.05465e+20,3.57129e+20
41,9.8481e-16,1.07356e+20,3.58472e+20
42,1.39717e-16,1.09213e+20,3.59849e+20
43,4.16281e-16,1.11036e+20,3.6126e+20
44,1.51598e-15,1.12825e+20,3.62705e+20
45,5.47543e-16,1.1458e+20,3.64184e+20
46,0,1.16301e+20,3.65697e+20
47,1.35061e-16,1.17989e+20,3.67243e+20
48,0,1.19642e+20,3.68824e+20
49,1.33285e-15,1.21262e+20,3.70438e+20
50,7.94482e-16,1.22847e+20,3.72087e+20
51,5.26216e-16,1.24399e+20,3.73769e+20
52,3.92117e-16,1.25916e+20,3.75486e+20
53,5.19471e-16,1.274e+20,3.77236e+20
54,2.58082e-16,1.2885e+20,3.7902e+20
55,7.69346e-16,1.30267e+20,3.80837e+20
56,7.64509e-16,1.3165e+20,3.82688e+20
57,2.53244e-16,1.33e+20,3.84572e+20
58,5.03343e-16,1.34316e+20,3.8649e+20
59,1.75083e-15,1.35599e+20,3.88441e+20
60,4.97168e-16,1.3685e+20,3.90424e+20
61,8.64741e-16,1.38068e+20,3.9244e+20
62,6.1393e-16,1.39253e+20,3.94489e+20
63,7.32279e-16,1.40406e+20,3.9657e+20
64,0,1.41526e+20,3.98684e+20
65,1.20594e-16,1.42613e+20,4.00831e+20
66,1.07892e-15,1.43669e+20,4.03009e+20
67,1.54928e-15,1.44693e+20,4.05219e+20
68,1.18479e-16,1.45685e+20,4.07461e+20
69,9.4232e-16,1.46646e+20,4.09734e+20
70,0,1.47575e+20,4.12039e+20
71,3.49309e-16,1.48473e+20,4.14375e+20
72,4.63085e-16,1.49341e+20,4.16741e+20
73,8.05795e-16,1.50177e+20,4.19139e+20
74,0,1.50984e+20,4.21566e+20
75,1.59349e-15,1.5176e+20,4.24024e+20
76,2.26369e-16,1.52505e+20,4.26513e+20
77,7.87893e-16,1.53221e+20,4.29031e+20
78,0,1.53908e+20,4.31578e+20
79,5.56597e-16,1.54565e+20,4.34155e+20
80,4.42845e-16,1.55193e+20,4.36761e+20
81,8.80878e-16,1.55792e+20,4.39396e+20
82,0,1.56362e+20,4.4206e+20
83,1.30711e-15,1.56903e+20,4.44753e+20
84,6.50062e-16,1.57417e+20,4.47473e+20
85,6.46605e-16,1.57903e+20,4.50221e+20
86,6.43185e-16,1.58362e+20,4.52996e+20
87,1.2796e-15,1.58794e+20,4.55798e+20
88,0,1.592e+20,4.58626e+20
89,6.33137e-16,1.5958e+20,4.6148e+20
90,1.67962e-15,1.59934e+20,4.6436e+20
